3552719532.637	0.224	0.857	15.876	291.536	4628.558
3552719533.638	0.226	0.861	15.877	291.536	4628.645
3552719534.637	0.226	0.852	15.877	291.536	4628.662
3552720275.133	0.034	0.236	0.001	-33.810	-0.050
3552720276.354	0.034	0.236	0.000	-32.849	-0.013
3552720277.351	0.034	0.237	0.000	-33.016	-0.014
3552720278.351	0.036	0.240	0.000	-32.835	-0.010
3552720279.351	0.035	0.238	0.001	-33.177	-0.020
3552720280.351	0.033	0.238	0.001	-33.300	-0.026
3552720281.350	0.035	0.239	0.001	-33.299	-0.026
3552720282.350	0.035	0.236	0.001	-32.988	-0.020
3552720283.351	0.034	0.236	0.001	-32.838	-0.017
3552720284.350	0.035	0.239	0.000	-32.765	-0.013
3552720285.351	0.034	0.236	0.001	-32.885	-0.019
3552720286.350	0.035	0.233	0.001	-33.078	-0.021
3552720287.351	0.034	0.238	0.001	-33.130	-0.025
3552720288.351	0.035	0.236	0.001	-33.302	-0.025
3552720289.350	0.035	0.238	0.001	-33.121	-0.023
3552720290.350	0.034	0.239	0.001	-32.928	-0.021
3552720291.351	0.035	0.235	0.000	-32.744	-0.009
3552720292.351	0.035	0.237	0.001	-32.860	-0.018
3552720293.350	0.034	0.237	0.001	-33.010	-0.017
3552720294.350	0.034	0.237	0.001	-33.256	-0.025
3552720295.350	0.035	0.239	0.001	-33.333	-0.028
3552720296.349	0.034	0.240	0.001	-33.091	-0.020
3552720537.052	0.210	0.814	15.875	290.569	4612.756
3552720538.214	0.215	0.841	15.878	291.536	4628.982
3552720539.209	0.214	0.838	15.878	291.536	4628.976
3552720540.209	0.214	0.834	15.878	291.536	4628.951
3552720541.209	0.213	0.831	15.878	291.536	4628.891
3552720542.209	0.215	0.833	15.878	291.536	4628.877
3552720543.209	0.215	0.830	15.878	291.536	4629.002
3552720544.209	0.214	0.838	15.878	291.536	4629.066
3552720545.210	0.216	0.830	15.878	291.536	4628.964
3552720546.209	0.215	0.829	15.878	291.536	4628.986
3552723039.982	-0.002	0.008	15.880	2.838	45.062
3552723041.159	-0.002	0.007	15.880	2.839	45.082
3552723042.156	-0.002	0.008	15.880	2.838	45.072
3552723043.156	-0.002	0.008	15.880	2.838	45.071
3552723044.156	-0.002	0.007	15.880	2.838	45.073
3552723045.157	-0.002	0.008	15.880	2.839	45.090
3552723046.154	-0.002	0.008	15.880	2.840	45.095
3552723047.154	-0.002	0.008	15.880	2.839	45.078
3552723048.154	-0.002	0.008	15.880	2.839	45.081
3552723049.155	-0.002	0.007	15.880	2.837	45.052
3552723050.154	-0.002	0.008	15.880	2.838	45.067
3552723051.154	-0.002	0.008	15.880	2.839	45.085
3552723052.155	-0.002	0.007	15.880	2.840	45.092
3552723053.155	-0.002	0.008	15.880	2.840	45.097
3552723054.155	-0.002	0.008	15.880	2.841	45.120
3552723055.156	-0.002	0.008	15.880	2.841	45.112
3552723056.156	-0.002	0.008	15.880	2.842	45.124
3552723057.157	-0.002	0.008	15.879	2.840	45.092
3552723058.156	-0.002	0.007	15.880	2.842	45.124
3552723059.155	-0.002	0.008	15.879	2.841	45.121
3552723060.155	-0.002	0.008	15.880	2.842	45.136
3552723061.156	-0.002	0.008	15.880	2.841	45.120
3552723062.154	-0.002	0.008	15.880	2.841	45.118
3552723063.155	-0.002	0.008	15.880	2.841	45.112
3552723064.154	-0.002	0.008	15.880	2.841	45.120
3552723065.155	-0.002	0.008	15.880	2.841	45.118
3552723066.154	-0.002	0.007	15.880	2.841	45.114
3552723147.696	-0.002	0.008	15.879	3.427	54.412
3552723148.863	-0.002	0.007	15.880	3.426	54.409
3552723149.860	-0.002	0.008	15.880	3.425	54.395
3552723150.860	-0.002	0.007	15.880	3.426	54.412
3552723151.859	-0.002	0.007	15.880	3.425	54.388
3552723152.861	-0.002	0.007	15.880	3.426	54.403
3552723153.859	-0.002	0.007	15.880	3.426	54.401
3552723154.859	-0.002	0.007	15.880	3.425	54.384
3552723155.859	-0.002	0.007	15.880	3.425	54.384
3552723156.859	-0.002	0.007	15.880	3.424	54.374
3552723157.859	-0.002	0.008	15.880	3.425	54.391
3552723158.859	-0.002	0.007	15.880	3.425	54.382
3552723159.861	-0.002	0.007	15.880	3.425	54.392
3552723160.860	-0.002	0.007	15.880	3.425	54.392
3552723161.860	-0.002	0.007	15.880	3.424	54.375
3552723162.860	-0.002	0.007	15.880	3.424	54.378
3552723163.860	-0.002	0.007	15.880	3.423	54.359
3552723164.861	-0.002	0.007	15.880	3.424	54.371
3552723165.859	-0.002	0.007	15.880	3.424	54.378
3552723166.859	-0.002	0.007	15.880	3.423	54.362
3552723167.859	-0.002	0.008	15.880	3.424	54.374
3552723168.860	-0.002	0.008	15.879	3.425	54.382
3552723169.860	-0.002	0.008	15.880	3.426	54.398
3552723170.859	-0.002	0.008	15.880	3.425	54.385
3552723171.859	-0.002	0.008	15.880	3.425	54.385
3552723172.860	-0.002	0.007	15.880	3.424	54.375
3552723173.859	-0.002	0.008	15.877	3.277	52.024
3552723174.859	-0.002	0.008	15.877	1.850	29.375
3552723175.859	-0.002	0.008	15.877	1.591	25.255
3552723176.860	-0.002	0.008	15.877	1.593	25.295
3552723177.860	-0.002	0.007	15.877	1.593	25.285
3552723178.860	-0.002	0.008	15.877	1.592	25.281
3552723179.860	-0.002	0.007	15.877	1.592	25.269
3552723180.861	-0.002	0.007	15.877	1.592	25.273
3552723181.859	-0.002	0.008	15.877	1.592	25.268
3552723182.859	-0.002	0.008	15.877	1.593	25.288
3552723183.859	-0.002	0.007	15.877	1.593	25.297
3552723184.860	-0.002	0.008	15.877	1.593	25.292
3552723185.860	-0.002	0.008	15.877	1.592	25.276
3552723186.859	-0.002	0.008	15.877	1.592	25.279
3552723187.859	-0.002	0.008	15.877	1.592	25.273
3552723188.859	-0.002	0.007	15.877	1.592	25.271
3552723189.860	-0.002	0.008	15.877	1.591	25.258
3552723190.859	-0.002	0.008	15.877	1.592	25.268
3552723191.860	-0.002	0.007	15.877	1.591	25.254
